timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646237875021,271,https://blazedemo.com/password/reset-2,304,Not Modified,Thread Group 1-4,,true,,177,1125,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237874437,937,https://blazedemo.com/password/reset,200,OK,Thread Group 1-5,text,true,,4931,3310,60,60,https://blazedemo.com/password/reset,620,0,0
1646237874437,621,https://blazedemo.com/password/reset-0,200,OK,Thread Group 1-5,text,true,,4577,1046,60,60,https://blazedemo.com/password/reset,620,0,0
1646237875059,315,https://blazedemo.com/password/reset-1,304,Not Modified,Thread Group 1-5,,true,,177,1133,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875059,281,https://blazedemo.com/password/reset-2,304,Not Modified,Thread Group 1-5,,true,,177,1131,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237874761,797,https://blazedemo.com/password/reset,200,OK,Thread Group 1-3,text,true,,4927,3298,60,60,https://blazedemo.com/password/reset,472,0,0
1646237874761,473,https://blazedemo.com/password/reset-0,200,OK,Thread Group 1-3,text,true,,4573,1042,60,60,https://blazedemo.com/password/reset,472,0,0
1646237875234,318,https://blazedemo.com/password/reset-1,304,Not Modified,Thread Group 1-3,,true,,177,1129,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875234,324,https://blazedemo.com/password/reset-2,304,Not Modified,Thread Group 1-3,,true,,177,1127,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237874662,907,https://blazedemo.com/password/reset,200,OK,Thread Group 1-2,text,true,,4929,3306,60,60,https://blazedemo.com/password/reset,583,0,0
1646237874677,892,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-39,text,true,,89871,3872,60,60,https://blazedemo.com/purchase.php,568,0,0
1646237874662,595,https://blazedemo.com/password/reset-0,200,OK,Thread Group 1-2,text,true,,4575,1046,60,60,https://blazedemo.com/password/reset,583,0,0
1646237874677,583,https://blazedemo.com/purchase.php-0,200,OK,Thread Group 1-39,text,true,,5185,654,60,60,https://blazedemo.com/purchase.php,568,0,0
1646237875258,300,https://blazedemo.com/password/reset-1,304,Not Modified,Thread Group 1-2,,true,,177,1131,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875258,311,https://blazedemo.com/password/reset-2,304,Not Modified,Thread Group 1-2,,true,,177,1129,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237875261,188,https://blazedemo.com/purchase.php-1,200,OK,Thread Group 1-39,text,true,,83982,588,60,60,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,188,0,0
1646237875261,291,https://blazedemo.com/purchase.php-2,304,Not Modified,Thread Group 1-39,,true,,176,656,60,60,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1646237875261,297,https://blazedemo.com/purchase.php-3,304,Not Modified,Thread Group 1-39,,true,,176,658,60,60,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1646237875261,308,https://blazedemo.com/purchase.php-4,304,Not Modified,Thread Group 1-39,,true,,177,658,60,60,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1646237875261,297,https://blazedemo.com/purchase.php-5,304,Not Modified,Thread Group 1-39,,true,,175,658,60,60,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1646237874692,937,https://blazedemo.com/password/reset,200,OK,Thread Group 1-20,text,true,,4927,3304,60,60,https://blazedemo.com/password/reset,600,0,0
1646237874692,604,https://blazedemo.com/password/reset-0,200,OK,Thread Group 1-20,text,true,,4573,1048,60,60,https://blazedemo.com/password/reset,600,0,0
1646237875297,332,https://blazedemo.com/password/reset-1,304,Not Modified,Thread Group 1-20,,true,,177,1129,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875297,302,https://blazedemo.com/password/reset-2,304,Not Modified,Thread Group 1-20,,true,,177,1127,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237875065,780,https://blazedemo.com/register,200,OK,Thread Group 1-13,text,true,,6538,3312,60,60,https://blazedemo.com/register,487,0,0
1646237875065,488,https://blazedemo.com/register-0,200,OK,Thread Group 1-13,text,true,,6184,1036,60,60,https://blazedemo.com/register,487,0,0
1646237875552,291,https://blazedemo.com/register-1,304,Not Modified,Thread Group 1-13,,true,,177,1139,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875552,293,https://blazedemo.com/register-2,304,Not Modified,Thread Group 1-13,,true,,177,1137,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237874904,942,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-25,text,true,,5169,3984,60,60,https://blazedemo.com/confirmation.php,647,0,0
1646237874904,648,https://blazedemo.com/confirmation.php-0,200,OK,Thread Group 1-25,text,true,,4250,716,60,60,https://blazedemo.com/confirmation.php,647,0,0
1646237875552,105,https://blazedemo.com/confirmation.php-1,304,Not Modified,Thread Group 1-25,,true,,215,638,60,60,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1646237875552,273,https://blazedemo.com/confirmation.php-2,304,Not Modified,Thread Group 1-25,,true,,176,656,60,60,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1646237875552,261,https://blazedemo.com/confirmation.php-3,304,Not Modified,Thread Group 1-25,,true,,176,658,60,60,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1646237875552,293,https://blazedemo.com/confirmation.php-4,304,Not Modified,Thread Group 1-25,,true,,177,658,60,60,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1646237875552,294,https://blazedemo.com/confirmation.php-5,304,Not Modified,Thread Group 1-25,,true,,175,658,60,60,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1646237874969,1056,https://blazedemo.com/register,200,OK,Thread Group 1-7,text,true,,6526,3286,60,60,https://blazedemo.com/register,734,0,0
1646237874969,754,https://blazedemo.com/register-0,200,OK,Thread Group 1-7,text,true,,6172,1034,60,60,https://blazedemo.com/register,734,0,0
1646237875723,302,https://blazedemo.com/register-1,304,Not Modified,Thread Group 1-7,,true,,177,1127,60,60,https://blazedemo.com/css/app.css,0,0,0
1646237875723,279,https://blazedemo.com/register-2,304,Not Modified,Thread Group 1-7,,true,,177,1125,60,60,https://blazedemo.com/js/app.js,0,0,0
1646237875051,1031,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-34,text,true,,89871,3872,60,60,https://blazedemo.com/purchase.php,704,0,0
1646237875051,707,https://blazedemo.com/purchase.php-0,200,OK,Thread Group 1-34,text,true,,5185,654,60,60,https://blazedemo.com/purchase.php,704,0,0
1646237875758,186,https://blazedemo.com/purchase.php-1,200,OK,Thread Group 1-34,text,true,,83982,588,60,60,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,186,0,0
1646237875758,324,https://blazedemo.com/purchase.php-2,304,Not Modified,Thread Group 1-34,,true,,176,656,60,60,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1646237875758,278,https://blazedemo.com/purchase.php-3,304,Not Modified,Thread Group 1-34,,true,,176,658,60,60,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1646237875758,293,https://blazedemo.com/purchase.php-4,304,Not Modified,Thread Group 1-34,,true,,177,658,60,60,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1646237875758,285,https://blazedemo.com/purchase.php-5,304,Not Modified,Thread Group 1-34,,true,,175,658,60,60,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1646237875578,875,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-41,text,true,,6730,3875,60,60,https://blazedemo.com/reserve.php,425,0,0
1646237875578,435,https://blazedemo.com/reserve.php-0,200,OK,Thread Group 1-41,text,true,,5811,607,60,60,https://blazedemo.com/reserve.php,425,0,0
